Code,MW,MWD,Styrene,Vinyl(% in SBR),Tg (℃),Functional_group,Ext. Oil,phr(Ext. Oil),Mat Cat,Description,비고
AAE202A,556000.0,1.5,10.0,36.0,-64.0,0,,0.0,SSBR,S-SBR (SL553),
AAE212A,435000.0,2.2,26.0,19.0,-53.0,0,,0.0,SSBR,S-SBR (SOL5220M),
AAE324A,713000.0,1.8,15.0,25.0,-62.0,3,AAP105A,5.0,SSBR,SSBR M1525,
AAE325A,1428000.0,2.1,25.0,19.0,-50.0,2,AAP105A,25.0,SSBR,S-SBR (St. : Vi. = 25 : 19.5 (%) in SBR),
AAE326A,540000.0,1.9,10.0,38.0,-60.0,2,AAP105A,5.0,SSBR,S-SBR (SSBRF1038),
AAE331A,863249.0,1.8,31.0,24.0,-39.0,2,AAP105A,37.5,SSBR,SOL-SBR(TUFDENE 3830)(SRAE)(35),
AAE333A,1395000.0,3.1,36.0,26.0,-32.0,2,AAP105A,37.5,SSBR,S-SBR (St : Vinyl = 35.5 : 25.8 (%) in SBR ),
AAE335A,1455000.0,2.2,36.0,26.0,-32.0,2,AAP105A,37.5,SSBR,S-SBR (St : Vi = 36 : 26 % in SBR),
AAE353A,863249.0,1.8,25.0,50.0,-29.0,0,AAP105A,37.5,SSBR,SOL SBR (VSL5025-2HM),
AAE354A,958000.0,2.5,25.0,50.0,-27.0,0,AAP105A,37.5,SSBR,S-SBR (St : Vinyl = 25: 50 % in SBR),
AAE356A,1334000.0,1.7,25.0,50.0,-27.0,0,AAP105A,37.5,SSBR,S-SBR (St : Vinyl = 25: 50 % in SBR),
AAE401A,352000.0,1.8,10.0,38.0,-60.0,2,,0.0,SSBR,S-SBR (HPR840),
AAE402A,535000.0,1.4,15.0,25.0,-60.0,2,,0.0,SSBR,SLR3402,
AAE403A,760000.0,1.8,15.0,25.0,-60.0,3,,0.0,SSBR,S-SBR (ASAPRENE™XB120),
AAE404A,716502.0,1.8,15.0,25.0,-62.0,2,,0.0,SSBR,SOL 5132H,
AAE451A,424000.0,1.6,21.0,50.0,-25.0,1,,0.0,SSBR,S-SBR (NS-116),
AAE452A,424000.0,1.6,21.0,50.0,-25.0,1,,0.0,SSBR,SOL-SBR(SLR4601)(25),
AAE461A,681000.0,1.4,21.0,50.0,-25.0,2,,0.0,SSBR,S-SBR (SLR4602),
AAE463A,461000.0,1.6,27.0,43.0,-23.0,2,,0.0,SSBR,ω-Func. S-SBR (St. : Vi. = 27.5 : 42.8 (%) in SBR),
AAE471A,466000.0,1.5,21.0,45.0,-32.0,2,,0.0,SSBR,S-SBR (HPR350),
AAE472A,453853.0,1.4,21.0,45.0,-32.0,2,,0.0,SSBR,S-SBR(SOL 5251H),
AAE502A,962000.0,1.9,36.0,41.0,-20.0,0,AAP105A,37.5,SSBR,S-SBR (HP774),
AAE512A,1700000.0,2.0,40.0,14.0,-36.0,0,AAP105A,37.5,SSBR,Sol-SBR(SLR6430)(30),
AAE515A,1210000.0,2.4,38.0,24.0,-32.5,0,AAP105A,37.5,SSBR,SOL-SBR(Styrene : Vinyl = 38 : 24 % in SBR),
AAE521A,1150000.0,2.6,40.0,28.0,-30.0,2,AAP105A,50.0,SSBR,S-SBR (TUFDENE 4850),
